rname,raddress,roverall_raw,rfood_raw,rservice_raw,rvalue_raw,ratmo_raw,cname,mname,roverall,rfood,rservice,rvalue,ratmo
Yvonne's,"818A Main St, Oregon City, OR 97045-1817",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,Cafe,,90,90,90,80,#VALUE!
Weinhard Grill,"812 Main St, Oregon City, OR 97045-1817",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,American,,80,80,80,80,#VALUE!
"Hearsay Restaurant, Lounge, & Garden","40 S 1st St, Ashland, OR 97520-2738",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Vegan Options,,90,90,80,80,#VALUE!
The Verdict Bar And Grill,"110 8th St, Oregon City, OR 97045-1806",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,Hot Artichoke & Spinach Dip,80,80,80,80,#VALUE!
Kin,"110 5th St, Hood River, OR 97031-2058",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,Eastern European,,90,90,90,80,#VALUE!
Sybaris,"442 1st Ave W, Albany, OR 97321-2228",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,ui_bubble_rating bubble_45,,"Chilled chicken & bacon pie, honey mustard greens",90,90,100,#VALUE!,90
The Verdict Bar And Grill,"110 8th St, Oregon City, OR 97045-1806",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,Steak Bites*,80,80,80,80,#VALUE!
Shanti's Indian Cuisine,"780 NW Garden Valley Blvd, Roseburg, OR 97471-1955",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Vegetable Pakoras,80,80,80,80,70
Stonehedge Gardens Wine Country Bistro,"3405 Wine Country Avenue, Hood River, OR 97031-9783",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,Vegan Options,,90,90,90,#VALUE!,90
Bangkok West Cuisine,"2521 W Harvard Ave, Roseburg, OR 97471-2582",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,90,90,80,80
Riverside Restaurant,"1108 E Marina Way, Best Western Plus Hood River Inn, Hood River, OR 97031-2378",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,FRITATTA,90,90,90,80,90
Saw Tooth Roadhouse,"4780 Highway 35, Hood River, OR 97031-8416",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,,All Our Other Pizzas,90,90,90,#VALUE!,70
Taj Indian Cuisine,"31 Water St, Ashland, OR 97520-1859",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegan Options,,80,80,80,80,80
Sushi Okalani,"109 1st St, Hood River, OR 97031-2379",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Asian,,90,90,90,80,80
Pure Bliss Bakery,"18946 Central Point Rd, Oregon City, OR 97045-8990",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,null,,,90,90,100,#VALUE!,#VALUE!
Mi Cielo Mexican Restaurant,"950 SW Veterans Way Ste 102, Redmond, OR 97756-2553",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Bohemia,90,90,90,80,80
